"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"50"	"17"	"3"	"127"	"127"	"10"	"NO"	6.66666666666667	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17321.5	23	10.5
"51"	"17"	"3"	"127"	"127"	"6"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	10.5
"52"	"17"	"3"	"127"	"127"	"4"	"NO"	6	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-02	17323.5	19	10.5
"53"	"17"	"3"	"127"	"127"	"7"	"NO"	9	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17326	14	10.5
"54"	"17"	"3"	"127"	"127"	"1"	"NO"	7	2017-06-09	2017-06-09	2017-05-28	2017-06-09	2017-06-09	17326	0	10.5
"55"	"17"	"4"	"131"	"131"	"1"	"NO"	NA	2017-06-02	2017-06-02	2017-05-24	2017-06-02	2017-06-02	17319	0	6.8
"56"	"17"	"4"	"131"	"131"	"2"	"NO"	8.83333333333333	2017-06-09	2017-06-09	2017-06-09	2017-06-09	2017-06-09	17326	0	6.8
"57"	"WS"	"3"	"144"	"144"	"4"	"NO"	NA	2017-06-16	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17333	0	30.8
"58"	"WS"	"3"	"144"	"144"	"7"	"NO"	7	2017-06-16	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17333	0	30.8
"59"	"WS"	"3"	"144"	"144"	"8"	"NO"	7.83333333333333	2017-06-09	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17329.5	7	30.8
"60"	"WS"	"3"	"144"	"144"	"2"	"NO"	8	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-02	17323.5	19	30.8
"61"	"WS"	"3"	"144"	"144"	"1"	"NO"	6.66666666666667	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17329.5	7	30.8
"62"	"WS"	"3"	"144"	"144"	"5"	"NO"	8.5	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17329.5	7	30.8
"63"	"WS"	"3"	"144"	"144"	"10"	"NO"	7.5	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-16	17327.5	17	30.8
"64"	"WS"	"3"	"144"	"144"	"6"	"NO"	5.83333333333333	2017-05-28	2017-06-19	2017-05-28	2017-06-16	2017-06-16	17325	22	30.8
"65"	"WS"	"3"	"144"	"144"	"3"	"NO"	6.83333333333333	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17329.5	7	30.8
"66"	"17"	"2"	"167"	"167"	"1"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	12.3
"67"	"17"	"2"	"167"	"167"	"4"	"NO"	6.66666666666667	2017-05-28	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17320	12	12.3
"68"	"17"	"2"	"167"	"167"	"3"	"NO"	7	2017-06-09	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17326	0	12.3
"69"	"17"	"2"	"167"	"167"	"5"	"NO"	5.5	2017-05-24	2017-06-16	2017-05-28	2017-06-02	2017-06-09	17321.5	23	12.3
"70"	"17"	"2"	"167"	"167"	"10"	"NO"	NA	2017-05-28	2017-05-28	2017-05-28	2017-06-02	2017-05-28	17314	0	12.3
"71"	"17"	"2"	"167"	"167"	"9"	"NO"	7	2017-05-28	2017-06-09	2017-06-02	2017-06-02	2017-05-28	17320	12	12.3
"72"	"WS"	"2"	"168"	"168"	"10"	"NO"	7	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	31.2
"73"	"WS"	"2"	"168"	"168"	"2"	"NO"	8.33333333333333	2017-05-28	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17323.5	19	31.2
