"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"394"	"H888"	"HC2b"	NA	9.8	9.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"395"	"H889"	"HC2b"	2017-06-25	9.2	9.2	11	292.2857142857	"yes"	11	292.2857142857	26.5714285714273	79	57	3	7	131	7.7	14146.5917191148
"396"	"H89"	"H03"	2017-06-12	9.93333333333333	9.9	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"397"	"H890"	"HC2b"	NA	9	9	NA	NA	NA	NA	NA	NA	39	35	0	1	8	1.5	4288.27397215007
"398"	"H891"	"HC2b"	2017-07-01	9	9	NA	NA	"no"	0	0	NA	1	4	1	15	59	2.6	12.5663706143592
"399"	"H892"	"HC2b"	2017-06-25	8.6	8.6	17	578	"yes"	17	578	34	71	53	4	6	106	5.5	11821.8131554584
"400"	"H893"	"HC2b"	NA	8.7	8.7	NA	NA	NA	NA	NA	NA	50	36	0	1	8	1.65	5654.86677646163
"401"	"H894"	"HC4"	2017-06-25	6.5	6.5	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"402"	"H895"	"HC4"	2017-07-01	6.3	6.3	12	447	"yes"	12	447	37.25	71	50	4	13	36	10	11152.6539202438
"403"	"H896"	"HC4"	2017-06-25	4.1	4.1	NA	NA	"no"	0	0	NA	29	6	2	15	100	4.7	546.637121724624
"404"	"H897"	"HC4"	NA	5.8	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"405"	"H898"	"HC4"	2017-07-01	5.7	5.7	4	150	"yes"	4	150	37.5	76	62	6	14	128	8	14803.1845837151
"406"	"H899"	"HC4"	2017-07-04	5.2	5.2	2	40	"yes"	2	40	20	7	27	1	15	103	6.2	593.761011528471
"407"	"H9"	"H01"	NA	27.5	28.4	NA	NA	NA	NA	NA	NA	31	14	0	1	54	2	1363.45121165797
"408"	"H90"	"H03"	2017-06-21	9.63333333333333	9.5	33	1056	"yes"	33	1056	32	NA	NA	NA	NA	NA	NA	NA
"409"	"H91"	"H04"	2017-06-19	30.9333333333333	31.4	4	48	"yes"	4	48	12	NA	NA	NA	NA	NA	NA	NA
"410"	"H92"	"H04"	2017-07-02	37.3666666666667	44	2	68	"yes"	2	68	34	NA	NA	NA	NA	NA	NA	NA
"411"	"H93"	"H04"	2017-06-26	33.9333333333333	38	31	968.75	"yes"	31	968.75	31.25	NA	NA	NA	NA	NA	NA	NA
"412"	"H94"	"H04"	NA	21.2666666666667	25.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"413"	"H95"	"H04"	NA	23.4666666666667	27.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"414"	"H96"	"H04"	2017-06-26	16.6	17	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"415"	"H97"	"H04"	NA	20	20.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"416"	"H98"	"H04"	NA	20.3666666666667	21.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"417"	"H99"	"H04"	2017-06-26	19.1	20.6	3	107	"yes"	3	107	35.6666666666667	NA	NA	NA	NA	NA	NA	NA
