"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"59"	"H1155"	"HC6"	2017-06-15	7	7	3	92	"yes"	3	92	30.6666666666667	NA	NA	1	24	127	9	NA
"60"	"H1156"	"HC6"	2017-06-25	7.4	7.4	9	319.5	"yes"	9	319.5	35.5	44	57	1	37	127	9	7879.1143752032
"61"	"H1157"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	53	35	0	1	79	3.2	5827.65437240907
"62"	"H1158"	"HC6"	2017-06-25	7	7	7	337.75	"yes"	7	337.75	48.25	6	2	1	24	87	4.5	37.6991118430775
"63"	"H1159"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	"H1160"	"HC6"	NA	6.6	6.6	NA	NA	NA	NA	NA	NA	9	17	0	1	8	1.7	480.663675999238
"65"	"H1161"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	11	15	0	1	7	1.4	518.362787842316
"66"	"H1162"	"HC6"	2017-06-25	7.4	7.4	8	228	"yes"	8	228	28.5	43	41	1	39	32	13	5538.62784827881
"67"	"H1163"	"HC6"	NA	6.7	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	"H1164"	"HC6"	NA	6.7	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	"H1165"	"HC6"	NA	7.1	7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	"H1166"	"HC6"	NA	6.7	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"H1167"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	"H1168"	"HC6"	2017-06-25	7	7	3	106.5	"yes"	3	106.5	35.5	29	13	1	32	125	8.8	1184.38043040335
"73"	"H1169"	"HC6"	2017-07-01	7.1	7.1	2	70	"yes"	2	70	35	30	10	1	15	84	4.1	942.477796076938
"74"	"H1170"	"HC6"	2017-07-15	7	7	NA	NA	NA	0	0	NA	68	37	0	1	99	4	7904.24711643192
"75"	"H1171"	"HC6"	2017-06-25	7.2	7.2	17	616.25	"yes"	17	616.25	36.25	77	43	7	14	35	10	10401.8132760358
"76"	"H1172"	"HC6"	2017-06-25	7.2	7.2	4	98.6666666667	"yes"	4	98.6666666667	24.666666666675	NA	NA	1	32	102	6	NA
"77"	"H1173"	"HC6"	2017-06-25	7.1	7.1	20	488	"yes"	20	488	24.4	80	57	5	16	32	10	14325.6625003695
"78"	"H1174"	"HC6"	NA	6.7	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"H1175"	"HC6"	NA	7.4	7.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"H1176"	"HC6"	NA	7.1	7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"H1177"	"HC6"	2017-07-01	7.3	7.3	NA	NA	"no"	0	0	NA	73	32	1	15	94	5.5	7338.76043878576
"82"	"H1178"	"HC6"	2017-07-07	7.6	7.6	7	164.5	"yes"	7	164.5	23.5	45	42	2	38	105	5.6	5937.61011528471
"83"	"H1179"	"HC6"	NA	8.7	8.7	NA	NA	NA	NA	NA	NA	29	27	0	1	91	5	2459.86704776081
"84"	"H1180"	"HC6"	NA	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	"H1181"	"HC6"	NA	8	8	NA	NA	NA	NA	NA	NA	74	40	0	1	91	6	9299.11425462579
"86"	"H1182"	"HC6"	2017-07-01	8.2	8.2	4	90.6666666667	"yes"	4	90.6666666667	22.666666666675	NA	NA	NA	NA	NA	NA	NA
"87"	"H1183"	"HC6"	2017-07-01	7.7	7.7	5	110	"yes"	5	110	22	46	33	1	32	93	5.4	4768.93764814931
"88"	"H12"	"H01"	2017-06-21	21.1	21.7	4	141	"yes"	4	141	35.25	44	32	1	32	120	8	4423.36245625443
"89"	"H13"	"H01"	2017-06-21	21.8666666666667	22.6	4	126	"yes"	4	126	31.5	56	48	2	32	98	4.15	8444.60105284936
"90"	"H14"	"H01"	2017-06-12	26.2333333333333	24.7	NA	NA	NA	0	0	NA	64	45	1	36	94	5.5	9047.7868423386
"91"	"H15"	"H01"	NA	27.7666666666667	24.7	NA	NA	NA	NA	NA	NA	24	22	0	1	86	4.4	1658.76092109541
"92"	"H16"	"H01"	NA	24.3333333333333	24.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	"H17"	"H01"	2017-06-27	23.7333333333333	24	NA	NA	NA	0	0	NA	48	34	6	17	116	7	5127.07921065854
"94"	"H18"	"H01"	NA	24.4666666666667	24.4	NA	NA	NA	NA	NA	NA	80	57	0	1	75	3.5	14325.6625003695
"95"	"H19"	"H01"	2017-06-21	20.4666666666667	20	50	1950	"yes"	50	1950	39	61	32	12	35	121	8.2	6132.38885980728
"96"	"H2"	"H01"	NA	22.7333333333333	23.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	"H20"	"H01"	2017-06-05	20.2333333333333	21.8	87	3828	"yes"	87	3828	44	65	52	21	9	40	7.7	10618.5831691335
"98"	"H21"	"H01"	2017-06-21	18.8666666666667	19.4	NA	NA	"no"	0	0	NA	48	44	5	23	16	7.14	6635.04368438164
"99"	"H22"	"H01"	2017-07-02	19.8	20.7	NA	NA	NA	0	0	NA	57	47	5	39	64	1.5	8416.32671896706
"100"	"H23"	"H01"	2017-07-02	17.8	17.7	4	80	"yes"	4	80	20	47	13	1	24	78	3.9	1919.51311134336
"101"	"H24"	"H01"	2017-06-21	18.8666666666667	20	7	231	"yes"	7	231	33	72	52	2	36	105	4.55	11762.1228950402
"102"	"H25"	"H01"	2017-07-22	21.7333333333333	23	NA	NA	NA	0	0	NA	81	64	9	6	75	2.5	16286.0163162095
"103"	"H26"	"H01"	2017-06-05	31.1333333333333	34	29	913.5	"yes"	29	913.5	31.5	NA	NA	NA	NA	NA	NA	NA
"104"	"H27"	"H01"	NA	29.7333333333333	29.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"H28"	"H01"	2017-06-21	27.9666666666667	28.5	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"106"	"H29"	"H01"	NA	17.1666666666667	17.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"107"	"H3"	"H01"	2017-06-27	33.3333333333333	33	NA	NA	NA	0	0	NA	32	28	1	2	73	3.2	2814.86701761645
"108"	"H30"	"H01"	2017-06-21	16.3	17	4	124	"yes"	4	124	31	NA	NA	NA	NA	NA	NA	NA
"109"	"H31"	"H02"	2017-07-27	17.4	18.7	2	44	"yes"	2	44	22	NA	NA	NA	NA	NA	NA	NA
"110"	"H316"	"H08"	NA	12.2666666666667	11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	"H317"	"H08"	2017-06-27	13.0666666666667	12	11	421.6666666667	"yes"	11	421.6666666667	38.3333333333364	NA	NA	NA	NA	NA	NA	NA
"112"	"H318"	"H08"	NA	13.8666666666667	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"H319"	"H08"	2017-07-16	13.7	12.6	3	111	"yes"	3	111	37	NA	NA	NA	NA	NA	NA	NA
"114"	"H32"	"H02"	2017-06-26	19.3666666666667	21.7	7	154	"yes"	7	154	22	NA	NA	NA	NA	NA	NA	NA
"115"	"H320"	"H08"	2017-06-21	14.2	13.6	4	157.3333333333	"yes"	4	157.3333333333	39.333333333325	NA	NA	NA	NA	NA	NA	NA
"116"	"H321"	"H08"	NA	13.2	12.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"H322"	"H08"	2017-06-21	15.4	14.9	2	32	"yes"	2	32	16	NA	NA	1	15	83	4	NA
"118"	"H323"	"H08"	2017-06-21	15.3333333333333	15.5	16	652	"yes"	16	652	40.75	13	57	11	22	127	8.5	2327.92015631004
"119"	"H324"	"H08"	NA	15.8666666666667	16.4	NA	NA	NA	NA	NA	NA	32	27	0	1	74	3.3	2714.33605270158
"120"	"H325"	"H08"	NA	16.1	16.8	NA	NA	NA	NA	NA	NA	45	29	0	1	72	3.1	4099.77841293468
"121"	"H326"	"H08"	NA	16.6333333333333	17.1	NA	NA	NA	NA	NA	NA	34	28	0	1	74	3.3	2990.79620621748
"122"	"H327"	"H08"	NA	17.1666666666667	17	NA	NA	NA	NA	NA	NA	45	27	0	1	3	1.7	3817.0350741116
"123"	"H328"	"H08"	NA	17.3333333333333	17.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"124"	"H329"	"H08"	NA	18.3	18.6	NA	NA	NA	NA	NA	NA	78	54	0	1	73	3.2	13232.3882569202
"125"	"H33"	"H02"	2017-07-03	15.0333333333333	17.6	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"H330"	"H08"	NA	17.8666666666667	17.8	NA	NA	NA	NA	NA	NA	34	29	0	1	88	4.6	3097.61035643954
"127"	"H331"	"H08"	NA	19.7333333333333	20.3	NA	NA	NA	NA	NA	NA	46	42	0	1	77	3.8	6069.55700673548
"128"	"H332"	"H08"	NA	21.0333333333333	21.9	NA	NA	NA	NA	NA	NA	13	67	0	1	94	5.5	2736.32720127671
"129"	"H333"	"H08"	2017-06-12	20.5666666666667	21.6	4	113	"yes"	4	113	28.25	16	22	24	4	47	10	1105.84061406361
"130"	"H334"	"H08"	2017-07-03	18.9666666666667	20.4	NA	NA	NA	0	0	NA	64	57	1	1	94	5.5	11460.5300002956
"131"	"H335"	"H08"	2017-06-12	18	18.6	NA	NA	"no"	0	0	NA	44	6	1	39	32	13	829.380460547705
"132"	"H336"	"H08"	2017-06-21	17.4	17.4	2	59	"yes"	2	59	29.5	44	1	1	32	24	12	138.230076757951
"133"	"H337"	"H08"	2017-06-21	18	18.7	19	817	"yes"	19	817	43	76	51	4	16	42	10	12176.813125314
"134"	"H338"	"H08"	2017-06-27	20.1	20.9	6	108	"yes"	6	108	18	44	46	1	37	94	5.5	6358.58353086574
