id,coordX,coordY
H1174,"14,4","8,5"
H1175,14,"9,8"
H1176,"15,7","2,3"
H1177,"19,3","2,7"
H1178,"20,1","7,5"
H1179,"22,7","9,6"
H1180,"26,8","4,5"
H1181,"26,7","6,1"
H1182,"26,2","1,4"
H1183,"26,5","1,25"
